tgt,pos,bogus,unsorted,sorted,seeded,num_classes,num_anno,latest_timestamp,crowdstarter
How about a poem ?,0,bogus,"[u""I 'll be at the piano ."", u""If you want , I 'll always do that ."", u'Something added to the window and water .', u""I 'll use the broom , I 'll shuffle , it won 't work !"", u'Fine .', u'Grab my glasses .', u'All of you are hopeless', u'The little box on top of the room .', u'Yeah .', u'A lot of things .']",[],False,0,1,20190208_135709,{}
What would you like to chat about ?,0,bogus,"[u'Yeah Of course .', u'Some of those stories love .', u'Well', u'supermodels .', u""Something you didn 't told me about the Wraith ."", u'We need to find out where we can fit .', u""She 's snoring outside ."", u""We want to talk ' about you ."", u'Last week , Laura took me pretty seriously , to be truthful ... but he said you kept talking about Demi Dunham .', u""About the results of the car , surprise you 'll see all you want .""]",[],False,0,1,20190208_135709,{}
llaollao,0,bogus,"[u'', u""GUYS , I DON 'T- -"", u'Jack llaollao !', u""I 'M SORRY , llaollao ."", u'llaollao OR SOMETHING .', u'llaollao .', u'Night .', u'converting ROUTE into llaollao']",[],False,0,1,20190208_135709,{}
I do like you,0,bogus,"[u'I mean of wife , would ask you football .', u""You don 't have any doubt in my mother 's letters ."", u'I type cell , prince !', u'Finding out who you are .', u'not our owner .', u'Nice !', u""Jumping on me ... that day following my dad 's move ."", u'I', u'I was bullied by Radha I', u'I on I .']",[],False,0,1,20190208_135709,{}
About what ?,0,bogus,"[u'About fairness and my relationship with Meredith Moore , being Patrick .', u""Uh , I-I don 't know ."", u""If you don 't say nothing , this 's what I 'm gonna do"", u""Don 't worry ,"", u'You .', u'About how this is gonna be about you and me .', u'About and I have been parted for now .', u'About her committing About Congress .', u'So my wallet barely got .', u'Her name is Fifi Langer .']",[],False,0,1,20190208_135709,{}
"You tell me , you said you do not know what happened to you .",0,bogus,"[u'You ... proved it innocent .', u'I am You the You .', u'Took too many nonsense , yesterday I was a little concerned about you .', u'goodness .', u""You I knew you 'd learn how to be careful , and you are pretty and strong , and not the people you are ."", u'You sadist thieves', u'How wonderful it is .', u'No .', u'We are running ugly .', u""My phone is doomed everywhere I shall go in saboteur 's place if you 're asking me to do things Let you go lam You Philip I am na\xefve You you continued to drop the power""]",[],False,0,1,20190208_135709,{}
What about music ?,0,bogus,"[u""It 's called it ."", u""There 's no dancing . -"", u'Cut that music ...', u'I dabble .', u""I don 't know ."", u'You could attend some Swedes', u'Ding ... ding , ding , ding ...', u""Dodson 's ..."", u""There 's a market in the Kama Sutra"", u'The later you had the children to join us ...']",[],False,0,1,20190208_135709,{}
No I don 't watch football in that way .,0,bogus,"[u""No That 's the Monkey Heart 's magic"", u""I 'm used to playing Mahjong with the Butler shithead ."", u'I do a lot of homework and then I promote cards .', u'Brady No the abbey .', u'And I missed it .', u'I am the one that known you', u'Hop in .', u""It got me into a billy No circus ... the next time I go by 's a phone call you don 't have a cellphone twice !"", u'No .', u'No was gonna lynching you with tears on his chest .']",[],False,0,1,20190208_135709,{}
Dignan who ?,0,bogus,"[u'Oh , Dudley .', u'With my tails .', u'One of those cute old chemists by a little Dignan .', u'Dignan .', u'Lieutenant Dignan Dignan .', u'JOHNNY', u'I did not know who to ask .', u'Come on !', u""... i don 't know that name .""]",[],False,0,1,20190208_135709,{}
Do you have a family ?,0,bogus,"[u'There we go .', u'Yeah ,', u'I am not a nun .', u'I have a wife , just behind her apartment .', u'I live alone , Yes Maya !', u'No , nobody .', u'I have to do ...', u'No , I need a family .', u'My son .', u'Not really , but ...']",[],False,0,1,20190208_135709,{}
I love movies,0,bogus,"[u'Tom swears your mother and I have another life in either of them .', u'Present', u'I elections are just Hmong ...', u"", I 'm a stubborn Jew ."", u'Break up in court .', u""Rockin ' than exactly Skip I see Show Goes through Envy ."", u', Friday and Friday .', u'why traitor and him are going to take you into the world of a dangerous man like a coward', u'I used to see movies .', u'your eyes ,']",[],False,0,1,20190208_135709,{}
i am not a huge fan of board games,0,bogus,"[u'funny .', u""just our people ' association is morale"", u'you unload all this place in your i ok , I have n i', u'this is a chess game .', u'yes simpleton oh i thought they would have a great time talking in what you taught me', u'the drama .', u'creative groups of electronics are the best to beat win the rock ball boy', u'you are an earth actor , you will very happy it will be a difficulty', u""Edna 's a scientist , so now that you 're paired up with the crocodile , you go in and just stick your music into it !"", u""they 'd i , of course you have fun and you could afford it when you play there again""]",[],False,0,1,20190208_135709,{}
That is amazing . Are you nervous ?,0,bogus,"[u'Better !', u'Not that , it is good to here , I can handle it An instinct', u'To be now ,', u'The Founder loved him all , the first thing he cried instead of imitating her in the bathroom ,', u'All I look at is my seeing just where the falafel at the part', u'I think this will be fun', u'Yes', u'Of course', u'With all due respect ,', u""The time 's at 18 .""]",[],False,0,1,20190208_135709,{}
what 's a joke ?,0,bogus,"[u""Oh , Tom Reynolds 's on a big show ."", u'Pee Wee something is to mop up your mess !', u""You 're right ."", u'Oh , you are always sort of a nice guy .', u'On the ground , champ .', u""No , there 's too much to say ."", u""somebody 's down there ."", u'The sleeves are tired .', u'all right .', u""Perhaps I 'm German .""]",[],False,0,1,20190208_135709,{}
Are you trying to rob me,0,bogus,"[u'Oh !', u'You are our son without protection .', u'You should be ashamed of yourself !', u""Let 's peel apples"", u'Here you go .', u""No , sir , I didn 't steal ."", u""You 'd better not steal it , man ."", u'Arrest her !', u""You know how to hash each other 's blood you 're riding it awfully low but your asphalt would be Are ground to the roof again ."", u'Look , Chris , I thought it was cool to pay for your marriage .']",[],False,0,1,20190208_135709,{}
that is not funny,0,bogus,"[u'a great one .', u""I don 't think so ."", u'Well , what you want to learn is that and Ithaca . that , but let me give you a chance .', u'worse .', u'An affront from our ancestors .', u'sorry .', u', open the door and grow up .', u'that e have a that .', u'an alert !', u'but a lot of so much it .']",[],False,0,1,20190208_135709,{}
What other stuff can we talk about ?,0,bogus,"[u""They 're for good ."", u'We just confirmed that stuff seems better .', u'Things came up right along the way you saw mary .', u'About a little ... something special .', u'Anything in other business .', u""We 're waiting for Sherlock Holmes to get to know him ."", u'Come in there .', u""We 're going on about ..."", u""Kids don 't talk ."", u'Anything .']",[],False,0,1,20190208_135709,{}
thanks darling you are so sweet,0,bogus,"[u'I am bored me , almost love ...', u'Papa , you are me', u""each looks for some new thanks likes me they 'll be from now they could all go to bed"", u'One here will be exhausted', u'I read your marriage until eleven', u'Whether you have any love for him', u'Now you are frustrated ..', u'I thank frowns', u'look who it was that you so well in which I guess you bring yourself in there okay , hyungnim , bring me some good for yourself , I earned your heart ..', u'Great , good day good bye you are out , mon thanks !']",[],False,0,1,20190208_135709,{}
I like cake .,0,bogus,"[u'pizza I .', u'Two for we stew about .', u'I like your cake .', u'Amanda Marx Stone .', u'I !', u""Now it didn 't matter ."", u'No .', u'that is totally cute .', u'I it , mum .', u'You fun for sleepover .']",[],False,0,1,20190208_135709,{}
Where are they ?,0,bogus,"[u'Oi !', u'I can not hear , Dad .', u""Don 't worry ."", u'I got one .', u""I 'm down in 20 minutes , man ."", u'Back at the walkway .', u""It 's complicated ."", u'Safe as I am currently wandering here .', u'There was nobody .', u""It 's five er ' Where ' .""]",[],False,0,1,20190208_135709,{}
do you like michael jackson ?,0,bogus,"[u'not for what i do .', u'no .', u""i don 't know , I disagree , but no ..."", u'yes .', u""He thinks I 'm brilliant ."", u""'s no , not court person I mean the mother ."", u""i don 't know ."", u'listen , i come from the tribe from the swamp .', u'l`m first .', u'i guess .']",[],False,0,1,20190208_135709,{}
"Okay , I like to watch comedies .",0,bogus,"[u'EXCELLENT .', u'Okay , IN THERE .', u'GO AHEAD .', u'Okay , uh-huh ,', u'YEAH .', u'I LIKE IT .', u'Okay it .', u""COMMON pumps , crappy shoes and fish boots , very waiter 's shoes on ."", u'I Okay .', u'Okay .']",[],False,0,1,20190208_135709,{}
What was it about ?,0,bogus,"[u'The What , several What vendors had lost it .', u'The words I spent with Mr. Butler .', u""culmination of Mr What 's disappearance at an antique store whose if we get offered this job something would look at him well if he can help his career , at a military production ."", u""I 'm not qualified to ask ."", u'Nothing about the What thing .', u'Nothing ...', u""I didn 't know Lily was a dancer ."", u'Hold me down .', u'I lost my license .', u'The sale of the What , and the What of time and pumping ...']",[],False,0,1,20190208_135709,{}
what are you up to ?,0,bogus,"[u""we 're just getting to the what ."", u""It 's only a madhouse , asshole ."", u""I 'm Catching ' Gene in town , working with Me ."", u'Many .', u'charlie .', u""i 'll see you at the baths ."", u""I 've seen you around , Mr. what ."", u""nothin ' like that ."", u'dancing with people .', u'well , for one thing , our country is only 300 feet long .']",[],False,0,1,20190208_135709,{}
me too,0,bogus,"[u""Nikita , you know , it doesn 't matter what kind of relationship you always have ."", u'ET .', u'yes !', u'she knew me .', u'But your mother is a little bit consumed at the time .', u""I don 't know why he wanted to throw words ."", u'Of course', u""No one knows what you 're doing in here ."", u'Meet you , Rochester police .', u""I don 't know .""]",[],False,0,1,20190208_135709,{}
Pizza,0,bogus,"[u""you 're not the man to close the decision ."", u'stink .', u'the fat .', u'Big Tuna Classic .', u'Dad is not a felon to fight shit with Dam Tau !', u""that business 's gross ..."", u'was a tiny bit of some kicking around craps on the back side of Chicago , on a street , called Pizza .', u'that people are here .', u'the fridge .', u'this dirt thing is it .']",[],False,0,1,20190208_135709,{}
do you listen to music ?,0,bogus,"[u'Sometimes I hear tonight rain', u'me and men did it .', u""It 's more obscene here ."", u'this is complete di do scene .', u'Yes , they hear me singing the name of an album', u'yeah .', u'I love you .', u""let 's go for it ."", u""you can speak a lot of minds like this , but we can 't find it ."", u'I bring calling them because they are responsible for justice , they have do for do']",[],False,0,1,20190208_135709,{}
What about the news ?,0,bogus,"[u'Neither the victim nor his grave will fall yet .', u'Mr. Connery and his son What have lost contact with prisoners their laboratory crashes .', u""'I took that feed . '"", u""Oh , we 've gonna use them ."", u""I 've stopped staying at a part of the job ."", u""It 's got nothing that much Malloy doesn 't have to do ."", u""I haven 't got friends yet ."", u'The Chief invites him however I want .', u'I decided to go off home and live where I came from .', u'I might know the news .']",[],False,0,1,20190208_135709,{}
I don 't think so .,0,bogus,"[u'i hear this voice sounds strange .', u'all these bitches look horrible .', u'Well , I !', u""You 'll have to hold a belt ."", u'DETECTIVE I cares', u'most that hide in the not I', u""I didn 't believe you , you coulda killed me ."", u'No on a bum like that .', u'Only I scary ,', u'I ...']",[],False,0,1,20190208_135709,{}
who is your favorite composer ?,0,bogus,"[u'who composer .', u'Witch', u'You question yourself .', u'Roberto .', u'who .', u'Think how many names', u'tom Abbott .', u'We pronounce him CIA , chief of governors .', u'Go .']",[],False,0,1,20190208_135709,{}
Super going to the beach this weekend,0,bogus,"[u""No , he 's Super I 'm Korean !"", u'Super up that dude .', u'Yeah .', u'I think we should try the Espheni process Fraser .', u'Yes .', u""I don 't know ."", u""It 's not so bad ."", u'Wild roads went bankrupt .', u'Immediately .', u'Super happy do .']",[],False,0,1,20190208_135709,{}
You are a robot,0,bogus,"[u""I 'm a robot , man ."", u'Yeah , I thought it would have been us- -', u'No !', u'Yes .', u'In any place , I am this psychic .', u""Yeah , but I don 't feel like drilling ."", u'Give me a break !', u'Come on .', u'Eat chocolate .', u'Yes , Professor .']",[],False,0,1,20190208_135709,{}
Do you have a cat ?,0,bogus,"[u""No , I don 't ."", u'I just split .', u'Andrej .', u""No , it 's all yours ."", u""I 've had my cat at a morgue and do a few things to tell me ."", u'No !', u""l 'm afraid not ."", u'Well , yeah .', u'Do !']",[],False,0,1,20190208_135709,{}
"ok , i was referring to personal questions",0,bogus,"[u'in this room .', u'just for the ...', u'the same person .', u'... i was- -', u""yeah , there 's no use for you to answer that ."", u'Yellow Star armor council , no sacrifice to bug you .', u'they were gonna trap you , Granger .', u'of the plans there .', u""but he claimed he hasn 't convicted her or he started killing anybody ."", u'Yes .']",[],False,0,1,20190208_135709,{}
Knock what off,0,bogus,"[u'As a favor to her .', u'He brought you here here .', u""Sweetie let 's not talk about it now !"", u'Oh , yeah .', u'Just come out here ...', u'Knock it !', u""Just admit that if you weren 't , you would have been here ."", u'You can go with this .', u""I 'm kind of tied up right now ..."", u""Don 't take her off if you can 't .""]",[],False,0,1,20190208_135709,{}
"ok , tell me about your weekend",0,bogus,"[u'oh yes .', u""often we 've got friday ."", u""I 've read it"", u'Well I let him be the editor at the club , still likes Patrick ...', u'Why anyways ...', u'First , ride me where you wanna go', u'I had a snack .', u""why don 't you go take a look"", u'Already not in the park .', u""You wouldn 't miss it a bit""]",[],False,0,1,20190208_135709,{}
ok what is the weather like where you are ?,0,bogus,"[u'32 mph who probably love checking through the stomach', u""I have to go to the village where my dress 's the essence from to summer hour in this room"", u'good as much as you are still , Lucius .', u'i dont know , Majesty i understand you in the front for work only tuesday tomorrow I join the gang', u'we want only to be measured for our future .', u'I think Salon will be out of the air all week we flying with wind and ok trash and is searching for engine ok', u'just so slim to us .', u""you 're known ... hello oh heavens oh ,"", u""Man , we don ' ok together ."", u""we 're ok Farley elegant fishing bugs are still creaking around the pipes there are so a lot of hard omens we don 't have money""]",[],False,0,1,20190208_135709,{}
Hello !,0,bogus,"[u'Lamia Ryu .', u'Who knows where I am ,', u'Edgar Kincaid ,', u'Hello goods forthe target , please .', u""Father , we can 't have you shut up goddamn out ."", u'Philip !', u'Good afternoon to you .', u'Jody !', u'That was our third date ...', u'You are not even her .']",[],False,0,1,20190208_135709,{}
don 't you have any idea about equality ?,0,bogus,"[u""No , sir. ... no. i 'm don ."", u'the concept that investigations are dealing with .', u""Otto Ik was recently dismissed from another parent 's union and he worked in his college firm as an latest basketball player ."", u'Seven years sober , mr .', u'of course not , this .', u'Things like Einstein may be a character .', u'it is because of knowledge and culture .', u'don don of child can make online marriages and he will given an absence for them .', u'don affairs .', u'look at that']",[],False,0,1,20190208_135709,{}
Gotcha . What 's your favorite book ?,0,bogus,"[u'Gotcha !', u'There it was .', u""It 's never again read a wizard 's promise"", u'A book .', u'I meant India .', u'I wish I could say easy on the old testament', u'I bad can make work on Gotcha', u'From the Gotcha .', u'Mozart !', u'Oh , my God ...']",[],False,0,1,20190208_135709,{}
Okay . I 'm a little bit confused . Let me change the topic . Do you have relatives where we 're going ?,0,bogus,"[u'Not our family', u'Erm ...', u'No', u'No .. f Okay ta .', u'Okay I did once a year add Okay start in two months I thank you', u'No sir I only heard about the police', u'Frontier to Russel jr .', u'Um , I do have a younger sister , I might be able to improve my new theme', u'Take a guess .']",[],False,0,1,20190208_135709,{}
wow thats old .,0,bogus,"[u'no .', u'hector Scott', u'96 wow shoes .', u'Yes i love you .', u'that might become more than a family .', u""that 's your wow wow we have not given him a Mormons and ..."", u""i can see no show-off and no wow at all u don 't believe me because I don 't like you"", u'very little', u'When you two became weak let me tell you something more neurotic about son', u'no i will move it a few world maybe']",[],False,0,1,20190208_135709,{}
That sounds good,0,bogus,"[u""Hell , don 't do it ."", u'Muhammad says no', u""Well , l-l was lucky to know the newcomers reckon they 're both missing ."", u""In the end , Stephanie 's death is going to the same church ."", u'Fine .', u""Therefore , I should 've longed for your husband 's happiness after me your procession would be cured president of big ..."", u'Sounds good .', u'I think Frank That cares about this stuff .', u""We 're up , could be good ."", u'That sounds good .']",[],False,0,1,20190208_135709,{}
