input1,sys11,sys12,sys13,sys14,sys15,sysid11,sysid12,sysid13,sysid14,sysid15,sentid1,input2,sys21,sys22,sys23,sys24,sys25,sysid21,sysid22,sysid23,sysid24,sysid25,sentid2,input3,sys31,sys32,sys33,sys34,sys35,sysid31,sysid32,sysid33,sysid34,sysid35,sentid3,input4,sys41,sys42,sys43,sys44,sys45,sysid41,sysid42,sysid43,sysid44,sysid45,sentid4,input5,sys51,sys52,sys53,sys54,sys55,sysid51,sysid52,sysid53,sysid54,sysid55,sentid5
i told you the facts! he abandoned us -- those are the facts.,i'm sorry i'm not..,i don't know what you're talking about,you're going to have to kill yourself,you're telling me the truth?,we can't make our way home,original/random_sampling_temp1.0_top10.json_4,original/random_sampling_temp0.5.json_6,clustered/random_sampling_temp1.0.json_9,clustered/random_sampling_temp0.7.json_2,clustered/random_sampling_temp1.0.json_7,97,now i think we really do understand one another.,i'll tell you what,i don't believe it!,i don't know what i'm doing,i thought you said i'm a piece of crap,we've got to get to the bottom of this,clustered/standard_beam_search_bs100_npad0.3.json_6,clustered/standard_beam_search_bs100.json_0,original/standard_beam_search_bs10.json_6,original/random_sampling_temp0.7.json_7,original/clustering_beam_search_bs10_cbs5.json_9,64,he wants the money.,what's the matter with you?,get him out of here!,he's going to pay for it,he's a bit of a.,do you know what he's doing?,clustered/beam_search_bs100_kpercand3.json_4,original/iterative_beam_search_bs5_ibs10.json_7,clustered/clustering_beam_search_bs100_cbs5.json_6,clustered/random_sampling_temp0.5.json_7,original/iterative_beam_search_bs5_ibs10.json_3,17,did you call?,i don't want to talk about it,can i talk to you?,i'll call you later,i don't want to talk about it,you know i should have been here in my room,clustered/beam_search_bs100_kpercand3.json_5,clustered/iterative_beam_search_bs5_ibs100.json_6,original/standard_beam_search_bs10.json_0,clustered/standard_beam_search_bs100_npad0.3.json_7,original/random_sampling_temp0.7.json_7,13,so what should i wear?,it's none of my business,i don't know what you mean,i don't know what i'm talking about,what's wrong with that?,why don't you get some sleep?,clustered/random_sampling_temp0.7.json_4,clustered/standard_beam_search_bs100.json_3,original/diverse_beam_search_bs10_dbs0.8.json_4,original/clustering_beam_search_bs10_cbs5.json_2,clustered/random_sampling_temp1.0_top100.json_8,20
yes... ..we do ask for... .30 to 60 days....,what are you talking about?,i'll be back in a few minutes,do you have any attorneys here?,i'll do my best,i thought it was a. but i was afraid to admit it,clustered/beam_search_bs100_kpercand3.json_3,original/clustering_beam_search_bs10_cbs5.json_5,clustered/random_sampling_temp1.0.json_0,clustered/random_sampling_temp1.0_top100.json_4,original/random_sampling_temp0.5.json_5,77,you're kidding.,you've got to be kidding,i don't want to hear it,so what do you think?,i've never seen anything like it,i'm sorry i got to get you into this,clustered/beam_search_bs100_kpercand3.json_6,original/standard_beam_search_bs10.json_5,original/iterative_beam_search_bs5_ibs10.json_3,clustered/random_sampling_temp1.0_top100.json_0,original/random_sampling_temp1.0_top10.json_8,7,why would he go to odessa?,i don't know but he's probably going to have to go down to the? and he'll be there in a minute,he'll be all right,i don't know what he's doing here,because he didn't want to be alone with you or anybody else in the world without saying good bye,he's already going to??,original/random_sampling_temp0.5.json_1,original/standard_beam_search_bs10_npad0.3.json_0,original/clustering_beam_search_bs10_cbs5.json_9,clustered/diverse_beam_search_bs100_dbs0.8.json_1,clustered/random_sampling_temp1.0.json_5,75,bring down the money or your friend's dead!,what's the matter with you?,i'm going to kill you!,i don't know what to do,what's wrong with him?,i'm going to kill you!,original/beam_search_bs10_kpercand3.json_1,clustered/random_sampling_temp1.0_top100.json_5,original/diverse_beam_search_bs10_dbs0.8.json_4,clustered/random_sampling_temp1.0_top100.json_6,clustered/random_sampling_temp0.5.json_1,92,what did you just say?,i don't know what you're talking about,i'm sorry but i can't,i don't know what you're talking about,i didn't get it!,i don't know what to say,clustered/random_sampling_temp1.0_top100.json_3,clustered/random_sampling_temp0.5.json_4,clustered/random_sampling_temp0.7.json_1,original/random_sampling_temp0.7.json_3,original/standard_beam_search_bs10.json_2,18
poor father...,i've never seen anything like this before,i'll take care of them,i've been thinking about it all the time,what's the matter with you?,you don't need a..,original/standard_beam_search_bs10.json_9,original/standard_beam_search_bs10_npad0.3.json_6,original/random_sampling_temp0.5.json_6,clustered/clustering_beam_search_bs100_cbs5.json_4,clustered/random_sampling_temp1.0_top100.json_6,36,it's okay. it's alright.,i'll take it from here,what do you want me to do?,there's a new. of alright,it's alright the. of the.,let's get out of here,original/random_sampling_temp0.5.json_5,clustered/clustering_beam_search_bs100_cbs5.json_9,original/random_sampling_temp0.5.json_1,clustered/random_sampling_temp1.0_top100.json_9,clustered/standard_beam_search_bs100_npad0.3.json_1,76,the bourbon. the news about ugarte upset me very much.,i'll be right back,you know what i mean?,so do not i call the police,i'll tell you what i'm gonna do,i don't know what to do,original/diverse_beam_search_bs10_dbs0.8.json_0,clustered/beam_search_bs100_kpercand3.json_3,original/random_sampling_temp1.0.json_1,original/standard_beam_search_bs10_npad0.3.json_7,original/standard_beam_search_bs10.json_3,60,too many people know about my involvement in this.,you had always done for consideration,i want to know where i live,but it is the only thing he's interested in,but i don't know what it is,is that what you want?,original/random_sampling_temp1.0.json_0,clustered/random_sampling_temp1.0_top100.json_1,original/random_sampling_temp1.0_top10.json_6,clustered/random_sampling_temp1.0_top100.json_6,original/iterative_beam_search_bs5_ibs10.json_9,96,"honey, we can be happy and poor together.",i'll be in a little room at 8 00 tonight,we're having a.,i'll be back in a few days,i want to be related to you,what are you talking about?,original/random_sampling_temp1.0_top10.json_1,original/random_sampling_temp0.7.json_7,original/clustering_beam_search_bs10_cbs5.json_9,original/random_sampling_temp0.7.json_9,clustered/standard_beam_search_bs100_npad0.3.json_6,86
see anything you like?,i can't believe this!,i'll see you later,let's get out of here,no i don't think so,you know what i mean?,clustered/random_sampling_temp1.0_top100.json_6,original/clustering_beam_search_bs10_cbs5.json_1,original/iterative_beam_search_bs5_ibs10.json_5,clustered/standard_beam_search_bs100.json_8,clustered/beam_search_bs100_kpercand3.json_4,45,"why not religion, dad?",i don't know what i'm talking about,why didn't you tell me?,i don't know what i'm talking about,why are you doing this?,what's the matter with you?,original/standard_beam_search_bs10.json_6,clustered/random_sampling_temp0.5.json_5,original/diverse_beam_search_bs10_dbs0.8.json_4,clustered/random_sampling_temp0.7.json_6,clustered/random_sampling_temp1.0_top100.json_7,8,why the hell are we wasting time here?!,we're not going to let anything happen,we're not going to let those bastards kill each other in front of the whole damn country!,what are you doing here?,you got four minutes to get up here!,i don't know what you're talking about but you're not going anywhere,clustered/diverse_beam_search_bs100_dbs0.8.json_6,clustered/diverse_beam_search_bs100_dbs0.8.json_2,original/clustering_beam_search_bs10_cbs5.json_1,clustered/random_sampling_temp1.0.json_1,original/diverse_beam_search_bs10_dbs0.8.json_9,93,it might be an interesting case.,the. have been. for years,i'd be delighted if you could help me,i want to know who's responsible,what are you going to do now?,facts appear to up postage gas,clustered/random_sampling_temp0.5.json_6,clustered/random_sampling_temp1.0_top100.json_6,clustered/random_sampling_temp1.0.json_0,clustered/random_sampling_temp1.0_top100.json_1,original/random_sampling_temp1.0.json_0,83,you going to answer it?,i don't know what i'm talking about,we're all fed up,i'll tell you what i think,what's going on here?,you're going to be fine,original/standard_beam_search_bs10.json_7,clustered/random_sampling_temp1.0.json_8,original/standard_beam_search_bs10_npad0.3.json_7,clustered/random_sampling_temp1.0_top100.json_5,clustered/random_sampling_temp0.5.json_2,51
i hope he fell off.,i think he was in the car,i don't know what he's talking about,find out who he is!,i think we have to take a nap,i'll take care of him,original/random_sampling_temp1.0_top10.json_6,original/standard_beam_search_bs10.json_5,clustered/iterative_beam_search_bs5_ibs100.json_2,original/random_sampling_temp1.0_top10.json_1,clustered/diverse_beam_search_bs100_dbs0.8.json_5,23,i'm supposed to speak at their tenth anniversary.,i don't know if i can,you've got to be kidding,you want to hear about this?,i don't want to hear it,we're going to the movies,original/standard_beam_search_bs10.json_6,clustered/standard_beam_search_bs100_npad0.3.json_9,original/random_sampling_temp0.7.json_9,original/clustering_beam_search_bs10_cbs5.json_4,original/random_sampling_temp0.5.json_0,80,you sure know how to take a lot of punishment.,i'll be right back,don't you think it's a little late for that?,that's why i'm here,i don't know what you're talking about,but he's not a sucker,clustered/beam_search_bs100_kpercand3.json_5,original/iterative_beam_search_bs5_ibs10.json_4,clustered/clustering_beam_search_bs100_cbs5.json_4,clustered/clustering_beam_search_bs100_cbs5.json_1,original/random_sampling_temp1.0.json_4,91,what's the matter?,don't you want to know what's going on?,don't you want to know what's going on? i'm sorry ma'a m,i don't know what to do,i've never seen anything like it,what's the matter with you?,clustered/diverse_beam_search_bs100_dbs0.8.json_2,clustered/diverse_beam_search_bs100_dbs0.8.json_4,original/standard_beam_search_bs10.json_4,clustered/random_sampling_temp0.7.json_1,clustered/random_sampling_temp1.0_top100.json_0,6,this thing's going nowhere.,what are you going to do?,a little meeting a little bit of fun and fast,i'll be back in a few days,would you like a drink?,i've got to get out of here!,clustered/beam_search_bs100_kpercand3.json_2,original/random_sampling_temp1.0.json_0,original/clustering_beam_search_bs10_cbs5.json_8,clustered/iterative_beam_search_bs5_ibs100.json_8,original/standard_beam_search_bs10_npad0.3.json_3,38
that's right; convict without trial... habeas corpus.,that's why i'm here,by the time we get to corpus,i'm going to do it,i'll tell you what i'll do,that's what i've been trying to tell you about the past few years but since,clustered/standard_beam_search_bs100.json_1,original/iterative_beam_search_bs5_ibs10.json_8,clustered/random_sampling_temp0.7.json_5,original/diverse_beam_search_bs10_dbs0.8.json_6,clustered/diverse_beam_search_bs100_dbs0.8.json_3,85,how far have you gotten?,i can hardly remember the last time,i don't know but i'll tell you what,as a matter of fact i do,it's been a long time,i've been looking for you,original/random_sampling_temp1.0_top10.json_1,original/diverse_beam_search_bs10_dbs0.8.json_5,original/iterative_beam_search_bs5_ibs10.json_2,clustered/standard_beam_search_bs100.json_8,clustered/clustering_beam_search_bs100_cbs5.json_1,15,what will you do?,i'll be right back,i'll be right back,i'll be right back,i'll go with you,i'll tell him i'll be back,original/clustering_beam_search_bs10_cbs5.json_0,clustered/beam_search_bs100_kpercand3.json_0,clustered/standard_beam_search_bs100_npad0.3.json_4,clustered/random_sampling_temp0.5.json_0,original/random_sampling_temp0.7.json_6,9,"sorry, am i interrupting?",i don't know what to do,i need to talk to you,no i don't think so,i don't know what to say,can't you see i'm busy?,original/standard_beam_search_bs10.json_7,clustered/standard_beam_search_bs100.json_6,clustered/beam_search_bs100_kpercand3.json_1,original/standard_beam_search_bs10_npad0.3.json_2,original/iterative_beam_search_bs5_ibs10.json_3,46,good luck.,i'm not gonna believe this,i'll be back in a minute,i'll be right back,i'll be back in a few minutes,i'll be right back,clustered/random_sampling_temp0.7.json_3,clustered/diverse_beam_search_bs100_dbs0.8.json_3,original/standard_beam_search_bs10.json_0,original/clustering_beam_search_bs10_cbs5.json_8,clustered/diverse_beam_search_bs100_dbs0.8.json_7,31
"bravo, your majesty!",i don't know what to say,i'll be right back,i'll take care of you,what do you mean by that?,the emperor is waiting for you,clustered/standard_beam_search_bs100.json_8,original/clustering_beam_search_bs10_cbs5.json_0,original/beam_search_bs10_kpercand3.json_2,clustered/standard_beam_search_bs100_npad0.3.json_7,clustered/random_sampling_temp0.7.json_0,2,i'm really not that hungry.,it's not a good idea,i'm not going to eat,what is the cake whatever my name is?,i know that you don't have to worry but are you gonna accept good or bad looking?,i don't have time for this,clustered/random_sampling_temp0.7.json_5,clustered/random_sampling_temp0.5.json_6,original/random_sampling_temp1.0.json_7,original/random_sampling_temp0.7.json_9,clustered/random_sampling_temp1.0_top100.json_2,94,how did it go today?,do you want to go?,i was just trying to help,i don't know what you're talking about,why didn't you tell me?,it just changed the whole?,original/iterative_beam_search_bs5_ibs10.json_3,original/random_sampling_temp0.5.json_9,original/standard_beam_search_bs10_npad0.3.json_2,clustered/beam_search_bs100_kpercand3.json_4,clustered/random_sampling_temp1.0.json_6,53,"i'm in a wheelchair, the truck sounds pretty good.",oh come on you'll find the.,let's get out of here,i don't know what to do,that's what the cops are asking for,thank you very much mr.,original/random_sampling_temp0.7.json_0,original/iterative_beam_search_bs5_ibs10.json_4,clustered/standard_beam_search_bs100.json_0,clustered/random_sampling_temp1.0.json_0,clustered/iterative_beam_search_bs5_ibs100.json_8,65,your ideas never work out.,what do you know about.?,we have to do something about this,i've never seen anything like it,i've never seen anything like it,and you led my career for me,clustered/random_sampling_temp1.0.json_2,clustered/random_sampling_temp0.7.json_1,original/clustering_beam_search_bs10_cbs5.json_3,original/beam_search_bs10_kpercand3.json_4,clustered/random_sampling_temp1.0.json_4,54
what's he get if he wins here?,i don't know about that,i don't want to know,what do you expect me to do?,we've got to find him,i've got to go,clustered/standard_beam_search_bs100.json_0,clustered/clustering_beam_search_bs100_cbs5.json_5,original/random_sampling_temp1.0_top10.json_7,clustered/standard_beam_search_bs100_npad0.3.json_9,original/clustering_beam_search_bs10_cbs5.json_4,79,where's ma?,it's in the back room,i don't know what you're thinking,i don't know what you're doing,get back in the water looking straight under the bugs,i don't know where she is,original/random_sampling_temp1.0_top10.json_4,original/standard_beam_search_bs10_npad0.3.json_7,original/standard_beam_search_bs10_npad0.3.json_9,original/random_sampling_temp1.0.json_3,clustered/clustering_beam_search_bs100_cbs5.json_2,1,chief - mind if i take her?,no i don't think so,sorry i've got to get you out of here,no i don't think so,no i don't think so,i think it's safer for you to discuss it,clustered/clustering_beam_search_bs100_cbs5.json_7,original/random_sampling_temp0.5.json_6,clustered/standard_beam_search_bs100.json_6,original/diverse_beam_search_bs10_dbs0.8.json_1,original/random_sampling_temp1.0.json_8,55,looking for intelligent life?,i don't know what you're talking about,jake intelligent himself and your dad,that's why i'm here,that's why i'm here,i've seen you before,original/clustering_beam_search_bs10_cbs5.json_0,clustered/random_sampling_temp1.0.json_5,clustered/random_sampling_temp0.5.json_6,clustered/standard_beam_search_bs100.json_4,clustered/random_sampling_temp0.7.json_7,26,"look, nobody knows we did it.",i don't know what you're talking about,we're not going anywhere,we've got to get out of here,put your hands on the table,is that what you want?,original/random_sampling_temp0.7.json_3,original/standard_beam_search_bs10.json_0,original/iterative_beam_search_bs5_ibs10.json_0,clustered/iterative_beam_search_bs5_ibs100.json_3,original/iterative_beam_search_bs5_ibs10.json_9,68
"ready to roll, partner?",no i don't think so,i can't believe you're not going to do this,i'll take care of it myself,i don't know what you're talking about,you're not gonna tell me what to do,clustered/beam_search_bs100_kpercand3.json_3,original/random_sampling_temp0.7.json_5,original/diverse_beam_search_bs10_dbs0.8.json_5,original/iterative_beam_search_bs5_ibs10.json_0,clustered/random_sampling_temp0.5.json_3,50,i'd love to drive through new england in the fall.,that's why i'm here,what's the matter with you?,i'd love to see the day you've taken care of,i'll be back in a few minutes and make sure that you're all right ma'a m but it doesn't matter how many times,i don't think i'll ever see you again,clustered/clustering_beam_search_bs100_cbs5.json_6,original/iterative_beam_search_bs5_ibs10.json_1,original/random_sampling_temp0.5.json_2,clustered/diverse_beam_search_bs100_dbs0.8.json_1,original/standard_beam_search_bs10.json_6,73,tonight turned out to be pretty interesting.,i'll be back in a couple of days,i've been thinking about it,why don't you come with me?,have you been thinking about your family?,i'll go back to the hotel,original/diverse_beam_search_bs10_dbs0.8.json_5,original/standard_beam_search_bs10_npad0.3.json_0,original/iterative_beam_search_bs5_ibs10.json_3,original/random_sampling_temp0.7.json_1,original/random_sampling_temp1.0_top10.json_6,70,you okay?,i'll tell you what,you're going to be okay,i've been thinking,what are you doing here?,get out of the way!,clustered/standard_beam_search_bs100_npad0.3.json_1,original/standard_beam_search_bs10_npad0.3.json_5,clustered/beam_search_bs100_kpercand3.json_8,original/clustering_beam_search_bs10_cbs5.json_1,original/iterative_beam_search_bs5_ibs10.json_9,29,he thinks people *like* to get whacked by branches.,he's a...,i don't know what you're talking about,i don't know what he's doing,i've been thinking about this for years,you get his plate ready?,original/random_sampling_temp0.5.json_5,clustered/standard_beam_search_bs100_npad0.3.json_1,original/standard_beam_search_bs10.json_7,clustered/random_sampling_temp1.0_top100.json_2,original/random_sampling_temp1.0.json_2,62
you're the guys from the movie!,i'll show you!,let's look at this!,i don't know what to say!,you're the only one who knows what's going on in there!,i don't know what to say,clustered/clustering_beam_search_bs100_cbs5.json_4,clustered/random_sampling_temp0.7.json_1,original/standard_beam_search_bs10.json_4,original/diverse_beam_search_bs10_dbs0.8.json_8,original/clustering_beam_search_bs10_cbs5.json_1,87,i just want the job.,you don't have to do that,you're a.?,i'll take care of it,ciccio i think you're right,i just want to get out of here,clustered/standard_beam_search_bs100.json_8,clustered/random_sampling_temp1.0_top100.json_3,original/standard_beam_search_bs10.json_0,clustered/random_sampling_temp1.0.json_2,clustered/random_sampling_temp0.7.json_6,11,its muscles are locked.,but isn't that enough?,i don't have time for this,i'll be right back,i've got to get out of here,we had to make them turn around,original/random_sampling_temp1.0.json_1,clustered/random_sampling_temp0.5.json_8,original/beam_search_bs10_kpercand3.json_0,original/beam_search_bs10_kpercand3.json_5,original/random_sampling_temp0.7.json_0,43,are you frightened?,do you know what i'm talking about?,i'll be right back,i've never seen anything like it so far away from me since you left,i've never seen anything like it,i'm very sorry but i'll let you know,original/iterative_beam_search_bs5_ibs10.json_1,clustered/beam_search_bs100_kpercand3.json_1,clustered/diverse_beam_search_bs100_dbs0.8.json_5,clustered/diverse_beam_search_bs100_dbs0.8.json_4,original/random_sampling_temp0.5.json_1,22,are you nervous?,what's the matter with you?,you're not going to be here,let's get out of here,i don't know what i'm talking about,i'll tell you what,clustered/beam_search_bs100_kpercand3.json_8,original/clustering_beam_search_bs10_cbs5.json_9,original/iterative_beam_search_bs5_ibs10.json_6,original/standard_beam_search_bs10_npad0.3.json_7,clustered/standard_beam_search_bs100_npad0.3.json_2,21
